날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-10-31,12090,12115,11790,11970,1359763,466920,SOL 조선TOP3플러스
2024-11-01,11830,11850,11505,11705,1273241,466920,SOL 조선TOP3플러스
2024-11-04,11740,11815,11550,11725,3013375,466920,SOL 조선TOP3플러스
2024-11-06,11880,12165,11610,12155,2889247,466920,SOL 조선TOP3플러스
2024-11-07,12275,13480,12230,13350,8623425,466920,SOL 조선TOP3플러스
2024-11-08,13650,14025,13115,13405,4669235,466920,SOL 조선TOP3플러스
2024-11-11,13550,13880,13505,13770,2902728,466920,SOL 조선TOP3플러스
2024-11-12,13880,13940,13375,13430,2966610,466920,SOL 조선TOP3플러스
2024-11-13,13505,13585,12980,13030,1883906,466920,SOL 조선TOP3플러스
2024-11-14,13155,13885,13100,13860,3198426,466920,SOL 조선TOP3플러스
2024-11-15,13905,14015,13480,13765,2335402,466920,SOL 조선TOP3플러스
2024-11-18,13655,13980,13415,13835,2346975,466920,SOL 조선TOP3플러스
2024-11-19,13915,14470,13750,14000,3205537,466920,SOL 조선TOP3플러스
2024-11-20,14000,14440,13880,14345,2117694,466920,SOL 조선TOP3플러스
2024-11-21,14375,14495,13840,14015,2539097,466920,SOL 조선TOP3플러스
2024-11-22,14025,14405,13910,14395,2799911,466920,SOL 조선TOP3플러스
2024-11-25,14500,14975,14400,14705,3554474,466920,SOL 조선TOP3플러스
2024-11-26,14700,14725,14305,14430,2306611,466920,SOL 조선TOP3플러스
2024-11-27,14395,14760,14375,14445,2122570,466920,SOL 조선TOP3플러스
2024-11-28,14430,14660,14170,14245,1993364,466920,SOL 조선TOP3플러스
2024-11-29,14200,14215,13845,13985,2086628,466920,SOL 조선TOP3플러스
2024-12-02,14055,14080,13245,13390,3484035,466920,SOL 조선TOP3플러스
2024-12-03,13425,13690,13420,13605,1989318,466920,SOL 조선TOP3플러스
2024-12-04,13315,13590,13085,13515,2888336,466920,SOL 조선TOP3플러스
2024-12-05,13530,13660,13205,13260,1523204,466920,SOL 조선TOP3플러스
2024-12-06,13250,13250,12545,12985,3113309,466920,SOL 조선TOP3플러스
2024-12-09,12555,12770,12465,12540,2337229,466920,SOL 조선TOP3플러스
2024-12-10,12710,13255,12655,13110,1909334,466920,SOL 조선TOP3플러스
2024-12-11,13150,14090,13120,14040,2880933,466920,SOL 조선TOP3플러스
2024-12-12,14070,14185,13885,14180,1418382,466920,SOL 조선TOP3플러스
2024-12-13,14095,14405,13900,14360,1381250,466920,SOL 조선TOP3플러스
2024-12-16,14480,14500,14030,14240,1443473,466920,SOL 조선TOP3플러스
2024-12-17,14170,14420,14015,14125,1338491,466920,SOL 조선TOP3플러스
2024-12-18,14125,14660,14075,14210,2204749,466920,SOL 조선TOP3플러스
2024-12-19,13775,14590,13745,14445,2216428,466920,SOL 조선TOP3플러스
2024-12-20,14560,14790,14400,14525,1883888,466920,SOL 조선TOP3플러스
2024-12-23,14800,15225,14800,15190,2528542,466920,SOL 조선TOP3플러스
2024-12-24,15275,15430,14930,15090,2610999,466920,SOL 조선TOP3플러스
2024-12-26,15260,15805,15215,15675,2306822,466920,SOL 조선TOP3플러스
2024-12-27,15600,15660,15225,15405,2132310,466920,SOL 조선TOP3플러스
2024-12-30,15365,15600,15160,15360,1436522,466920,SOL 조선TOP3플러스
2025-01-02,15360,15830,15265,15560,1652189,466920,SOL 조선TOP3플러스
2025-01-03,15590,15925,15060,15185,2695708,466920,SOL 조선TOP3플러스
2025-01-06,15190,15320,14860,15300,2222132,466920,SOL 조선TOP3플러스
2025-01-07,15550,16170,15480,16030,4205294,466920,SOL 조선TOP3플러스
2025-01-08,16150,16580,16060,16565,3323617,466920,SOL 조선TOP3플러스
2025-01-09,16495,16890,16275,16730,2311752,466920,SOL 조선TOP3플러스
2025-01-10,16680,17005,16480,16965,2049122,466920,SOL 조선TOP3플러스
2025-01-13,17020,17030,16410,16755,2747767,466920,SOL 조선TOP3플러스
2025-01-14,16870,17465,16870,17075,3470790,466920,SOL 조선TOP3플러스
2025-01-15,17170,18100,17100,18020,4570752,466920,SOL 조선TOP3플러스
2025-01-16,18155,18170,17600,18015,3055352,466920,SOL 조선TOP3플러스
2025-01-17,17880,18140,17615,17985,2770148,466920,SOL 조선TOP3플러스
2025-01-20,17920,18190,17675,18105,2870233,466920,SOL 조선TOP3플러스
